workload,middleware,input_type,n,p,mean_ms,std_ms,speedup,efficiency
fft,baseline,generated,1048576,1,109.781,0.9778,1.0,1.0
fft,mpi,generated,1048576,1,84.5384,1.2115,1.0,1.0
fft,mpi,generated,1048576,2,41.7619,0.4956,2.0243,1.0121
fft,mpi,generated,1048576,4,18.8589,0.0747,4.4827,1.1207
fft,mpi,generated,1048576,8,9.149,0.0766,9.2402,1.155
fft,mpi,generated,1048576,16,4.4582,0.0132,18.9626,1.1852
fft,mpi,generated,1048576,32,9.8521,6.9308,8.5807,0.2681
fft,openmp,generated,1048576,1,102.1308,0.7434,1.0749,1.0749
fft,openmp,generated,1048576,2,86.7864,0.8229,1.265,0.6325
fft,openmp,generated,1048576,4,77.3931,1.0076,1.4185,0.3546
fft,openmp,generated,1048576,8,75.0293,0.4517,1.4632,0.1829
fft,openmp,generated,1048576,16,73.3369,1.2195,1.4969,0.0936
fft,openmp,generated,1048576,32,72.9454,0.6795,1.505,0.047
fft,pthreads,generated,1048576,1,95.6598,2.7931,1.1476,1.1476
fft,pthreads,generated,1048576,2,78.9015,4.6573,1.3914,0.6957
fft,pthreads,generated,1048576,4,75.6129,5.4078,1.4519,0.363
fft,pthreads,generated,1048576,8,70.0752,4.8916,1.5666,0.1958
fft,pthreads,generated,1048576,16,68.9372,2.4793,1.5925,0.0995
fft,pthreads,generated,1048576,32,66.7292,2.0629,1.6452,0.0514
fir,baseline,generated,1048576,1,97.961,0.4742,1.0,1.0
fir,mpi,generated,1048576,1,81.1994,0.1082,1.0,1.0
fir,mpi,generated,1048576,2,40.9108,0.1506,1.9848,0.9924
fir,mpi,generated,1048576,4,20.5285,0.0308,3.9555,0.9889
fir,mpi,generated,1048576,8,10.3652,0.0934,7.8339,0.9792
fir,mpi,generated,1048576,16,5.1507,0.0099,15.7648,0.9853
fir,mpi,generated,1048576,32,3.1994,1.2926,25.3792,0.7931
fir,openmp,generated,1048576,1,89.6826,0.5249,1.0923,1.0923
fir,openmp,generated,1048576,2,45.733,0.4271,2.142,1.071
fir,openmp,generated,1048576,4,23.0181,0.1591,4.2558,1.064
fir,openmp,generated,1048576,8,11.634,0.0387,8.4202,1.0525
fir,openmp,generated,1048576,16,6.53,0.2997,15.0016,0.9376
fir,openmp,generated,1048576,32,4.0072,0.1665,24.4465,0.764
fir,pthreads,generated,1048576,1,118.3834,1.0959,0.8275,0.8275
fir,pthreads,generated,1048576,2,65.0626,2.2622,1.5056,0.7528
fir,pthreads,generated,1048576,4,37.329,4.2392,2.6243,0.6561
fir,pthreads,generated,1048576,8,23.9537,3.5609,4.0896,0.5112
fir,pthreads,generated,1048576,16,11.0042,4.5149,8.9022,0.5564
fir,pthreads,generated,1048576,32,8.0037,0.1134,12.2395,0.3825
fft,baseline,downloaded,1048576,1,110.1808,0.7158,1.0,1.0
fft,mpi,downloaded,1048576,1,84.6194,1.7459,1.0,1.0
fft,mpi,downloaded,1048576,2,42.4117,0.2912,1.9952,0.9976
fft,mpi,downloaded,1048576,4,18.7584,0.1126,4.511,1.1278
fft,mpi,downloaded,1048576,8,9.1929,0.1243,9.2049,1.1506
fft,mpi,downloaded,1048576,16,4.4334,0.0079,19.0866,1.1929
fft,mpi,downloaded,1048576,32,2.6329,0.8964,32.1397,1.0044
fft,openmp,downloaded,1048576,1,100.3053,0.9205,1.0985,1.0985
fft,openmp,downloaded,1048576,2,85.7699,0.3394,1.2846,0.6423
fft,openmp,downloaded,1048576,4,78.1762,0.8625,1.4094,0.3523
fft,openmp,downloaded,1048576,8,75.7147,1.8514,1.4552,0.1819
fft,openmp,downloaded,1048576,16,73.401,1.3499,1.5011,0.0938
fft,openmp,downloaded,1048576,32,77.1453,5.6809,1.4282,0.0446
fft,pthreads,downloaded,1048576,1,92.1767,6.3461,1.1953,1.1953
fft,pthreads,downloaded,1048576,2,79.6809,3.1948,1.3828,0.6914
fft,pthreads,downloaded,1048576,4,72.6188,5.5711,1.5172,0.3793
fft,pthreads,downloaded,1048576,8,70.7929,3.86,1.5564,0.1945
fft,pthreads,downloaded,1048576,16,69.4647,2.0893,1.5861,0.0991
fft,pthreads,downloaded,1048576,32,67.9235,1.2689,1.6221,0.0507
fir,baseline,downloaded,1048576,1,97.8614,0.5233,1.0,1.0
fir,mpi,downloaded,1048576,1,81.2042,0.0716,1.0,1.0
fir,mpi,downloaded,1048576,2,40.8772,0.1117,1.9865,0.9933
fir,mpi,downloaded,1048576,4,20.4958,0.0805,3.962,0.9905
fir,mpi,downloaded,1048576,8,10.3201,0.0418,7.8685,0.9836
fir,mpi,downloaded,1048576,16,5.1569,0.0088,15.7467,0.9842
fir,mpi,downloaded,1048576,32,10.7724,7.7472,7.5382,0.2356
fir,openmp,downloaded,1048576,1,89.8965,0.2787,1.0886,1.0886
fir,openmp,downloaded,1048576,2,45.5707,0.2137,2.1475,1.0737
fir,openmp,downloaded,1048576,4,23.0339,0.1479,4.2486,1.0621
fir,openmp,downloaded,1048576,8,11.8305,0.131,8.272,1.034
fir,openmp,downloaded,1048576,16,6.5518,0.1805,14.9366,0.9335
fir,openmp,downloaded,1048576,32,3.9246,0.1947,24.9354,0.7792
fir,pthreads,downloaded,1048576,1,117.6645,2.5759,0.8317,0.8317
fir,pthreads,downloaded,1048576,2,64.6293,2.5552,1.5142,0.7571
fir,pthreads,downloaded,1048576,4,37.2133,5.6434,2.6297,0.6574
fir,pthreads,downloaded,1048576,8,27.0205,1.0764,3.6217,0.4527
fir,pthreads,downloaded,1048576,16,11.9277,4.4852,8.2045,0.5128
fir,pthreads,downloaded,1048576,32,7.9826,0.0988,12.2593,0.3831
fft,baseline,generated,2097152,1,288.9875,2.7922,1.0,1.0
fft,mpi,generated,2097152,1,227.2167,2.1635,1.0,1.0
fft,mpi,generated,2097152,2,114.6292,2.0383,1.9822,0.9911
fft,mpi,generated,2097152,4,43.1197,0.4386,5.2694,1.3174
fft,mpi,generated,2097152,8,20.5544,1.0408,11.0544,1.3818
fft,mpi,generated,2097152,16,9.5502,0.1283,23.7918,1.487
fft,mpi,generated,2097152,32,14.3895,10.6031,15.7904,0.4935
fft,openmp,generated,2097152,1,259.9515,2.364,1.1117,1.1117
fft,openmp,generated,2097152,2,218.9909,5.6242,1.3196,0.6598
fft,openmp,generated,2097152,4,201.9585,2.7277,1.4309,0.3577
fft,openmp,generated,2097152,8,194.4157,1.735,1.4864,0.1858
fft,openmp,generated,2097152,16,195.9081,4.5656,1.4751,0.0922
fft,openmp,generated,2097152,32,194.639,1.4316,1.4847,0.0464
fft,pthreads,generated,2097152,1,176.5224,4.1677,1.6371,1.6371
fft,pthreads,generated,2097152,2,149.7239,0.7642,1.9301,0.9651
fft,pthreads,generated,2097152,4,135.2634,2.7719,2.1365,0.5341
fft,pthreads,generated,2097152,8,128.006,2.1975,2.2576,0.2822
fft,pthreads,generated,2097152,16,124.7739,2.164,2.3161,0.1448
fft,pthreads,generated,2097152,32,123.9874,2.3502,2.3308,0.0728
fir,baseline,generated,2097152,1,198.1342,0.8355,1.0,1.0
fir,mpi,generated,2097152,1,161.7818,0.3067,1.0,1.0
fir,mpi,generated,2097152,2,81.2854,0.1133,1.9903,0.9951
fir,mpi,generated,2097152,4,41.1515,0.2161,3.9314,0.9828
fir,mpi,generated,2097152,8,20.6264,0.0783,7.8434,0.9804
fir,mpi,generated,2097152,16,10.3199,0.0768,15.6767,0.9798
fir,mpi,generated,2097152,32,11.4914,9.033,14.0785,0.44
fir,openmp,generated,2097152,1,179.7525,0.8687,1.1023,1.1023
fir,openmp,generated,2097152,2,90.1101,0.4024,2.1988,1.0994
fir,openmp,generated,2097152,4,45.4624,0.195,4.3582,1.0895
fir,openmp,generated,2097152,8,23.1758,0.1762,8.5492,1.0686
fir,openmp,generated,2097152,16,12.1094,0.0844,16.362,1.0226
fir,openmp,generated,2097152,32,7.0542,0.2634,28.0876,0.8777
fir,pthreads,generated,2097152,1,222.084,4.6019,0.8922,0.8922
fir,pthreads,generated,2097152,2,117.9722,3.3772,1.6795,0.8397
fir,pthreads,generated,2097152,4,65.6346,3.0032,3.0187,0.7547
fir,pthreads,generated,2097152,8,43.1956,0.4039,4.5869,0.5734
fir,pthreads,generated,2097152,16,19.9449,4.6432,9.9341,0.6209
fir,pthreads,generated,2097152,32,17.0398,2.0022,11.6277,0.3634
fft,baseline,downloaded,2097152,1,287.67,2.3924,1.0,1.0
fft,mpi,downloaded,2097152,1,224.9091,1.7008,1.0,1.0
fft,mpi,downloaded,2097152,2,103.0818,15.6103,2.1819,1.0909
fft,mpi,downloaded,2097152,4,43.7281,2.3175,5.1434,1.2858
fft,mpi,downloaded,2097152,8,21.2232,1.0822,10.5973,1.3247
fft,mpi,downloaded,2097152,16,9.3895,0.0927,23.9532,1.4971
fft,mpi,downloaded,2097152,32,8.8995,5.8649,25.2721,0.7898
fft,openmp,downloaded,2097152,1,269.3199,0.7424,1.0681,1.0681
fft,openmp,downloaded,2097152,2,222.5901,2.1281,1.2924,0.6462
fft,openmp,downloaded,2097152,4,203.1408,3.4295,1.4161,0.354
fft,openmp,downloaded,2097152,8,197.8483,1.3383,1.454,0.1817
fft,openmp,downloaded,2097152,16,195.561,8.1693,1.471,0.0919
fft,openmp,downloaded,2097152,32,194.6715,3.6956,1.4777,0.0462
fft,pthreads,downloaded,2097152,1,178.817,3.4673,1.6087,1.6087
fft,pthreads,downloaded,2097152,2,149.6741,0.904,1.922,0.961
fft,pthreads,downloaded,2097152,4,135.8815,3.5693,2.1171,0.5293
fft,pthreads,downloaded,2097152,8,127.4011,1.4303,2.258,0.2822
fft,pthreads,downloaded,2097152,16,123.9555,2.6134,2.3208,0.145
fft,pthreads,downloaded,2097152,32,125.0979,2.494,2.2996,0.0719
fir,baseline,downloaded,2097152,1,197.7098,0.5281,1.0,1.0
fir,mpi,downloaded,2097152,1,161.9129,0.0869,1.0,1.0
fir,mpi,downloaded,2097152,2,81.3002,0.1247,1.9915,0.9958
fir,mpi,downloaded,2097152,4,40.9148,0.1298,3.9573,0.9893
fir,mpi,downloaded,2097152,8,20.6092,0.0612,7.8563,0.982
fir,mpi,downloaded,2097152,16,10.3069,0.0787,15.7091,0.9818
fir,mpi,downloaded,2097152,32,9.9347,7.3453,16.2977,0.5093
fir,openmp,downloaded,2097152,1,179.6477,0.2407,1.1005,1.1005
fir,openmp,downloaded,2097152,2,90.191,0.0842,2.1921,1.0961
fir,openmp,downloaded,2097152,4,45.7795,0.1743,4.3187,1.0797
fir,openmp,downloaded,2097152,8,23.0351,0.2007,8.583,1.0729
fir,openmp,downloaded,2097152,16,12.0036,0.1144,16.4709,1.0294
fir,openmp,downloaded,2097152,32,7.1411,0.2644,27.6861,0.8652
fir,pthreads,downloaded,2097152,1,224.3501,3.9338,0.8813,0.8813
fir,pthreads,downloaded,2097152,2,117.5752,3.0368,1.6816,0.8408
fir,pthreads,downloaded,2097152,4,67.4539,2.4725,2.931,0.7328
fir,pthreads,downloaded,2097152,8,42.6298,1.1597,4.6378,0.5797
fir,pthreads,downloaded,2097152,16,22.1764,3.943,8.9153,0.5572
fir,pthreads,downloaded,2097152,32,16.9914,1.8422,11.6358,0.3636
fft,baseline,generated,4194304,1,619.2647,18.2681,1.0,1.0
fft,mpi,generated,4194304,1,508.8157,0.882,1.0,1.0
fft,mpi,generated,4194304,2,251.3801,1.4636,2.0241,1.012
fft,mpi,generated,4194304,4,106.8948,11.8738,4.76,1.19
fft,mpi,generated,4194304,8,56.7434,9.7578,8.967,1.1209
fft,mpi,generated,4194304,16,20.2383,0.7297,25.1413,1.5713
fft,mpi,generated,4194304,32,13.734,4.8504,37.0479,1.1577
fft,openmp,generated,4194304,1,560.8685,5.1592,1.1041,1.1041
fft,openmp,generated,4194304,2,485.0327,6.2474,1.2767,0.6384
fft,openmp,generated,4194304,4,445.3732,5.8426,1.3904,0.3476
fft,openmp,generated,4194304,8,420.2698,7.5137,1.4735,0.1842
fft,openmp,generated,4194304,16,407.9515,2.6071,1.518,0.0949
fft,openmp,generated,4194304,32,408.1135,10.2427,1.5174,0.0474
fft,pthreads,generated,4194304,1,393.7643,2.752,1.5727,1.5727
fft,pthreads,generated,4194304,2,333.7692,3.4508,1.8554,0.9277
fft,pthreads,generated,4194304,4,305.2146,1.987,2.0289,0.5072
fft,pthreads,generated,4194304,8,281.323,2.9142,2.2013,0.2752
