=== mpi ===
date: Tue Mar 24 04:27:23 PM EDT 2026
host: d0135

--- dataset: data/input_small.bin (n=1048576) ---
fft_mpi n=1048576 nprocs=1 chunk=1048576 time_ms=88.2165
fft_mpi n=1048576 nprocs=1 chunk=1048576 time_ms=84.9338
fft_mpi n=1048576 nprocs=1 chunk=1048576 time_ms=86.8367
fft_mpi n=1048576 nprocs=1 chunk=1048576 time_ms=84.3428
fft_mpi n=1048576 nprocs=1 chunk=1048576 time_ms=86.6819
fft_mpi n=1048576 nprocs=2 chunk=524288 time_ms=43.3499
fft_mpi n=1048576 nprocs=2 chunk=524288 time_ms=44.5629
fft_mpi n=1048576 nprocs=2 chunk=524288 time_ms=41.6905
fft_mpi n=1048576 nprocs=2 chunk=524288 time_ms=43.4935
fft_mpi n=1048576 nprocs=2 chunk=524288 time_ms=41.9736
fft_mpi n=1048576 nprocs=4 chunk=262144 time_ms=18.8561
fft_mpi n=1048576 nprocs=4 chunk=262144 time_ms=18.8758
fft_mpi n=1048576 nprocs=4 chunk=262144 time_ms=18.8389
fft_mpi n=1048576 nprocs=4 chunk=262144 time_ms=19.3586
fft_mpi n=1048576 nprocs=4 chunk=262144 time_ms=18.5565
fft_mpi n=1048576 nprocs=8 chunk=131072 time_ms=9.1974
fft_mpi n=1048576 nprocs=8 chunk=131072 time_ms=9.3619
fft_mpi n=1048576 nprocs=8 chunk=131072 time_ms=9.2092
fft_mpi n=1048576 nprocs=8 chunk=131072 time_ms=9.0319
fft_mpi n=1048576 nprocs=8 chunk=131072 time_ms=9.1908
fft_mpi n=1048576 nprocs=16 chunk=65536 time_ms=4.4357
fft_mpi n=1048576 nprocs=16 chunk=65536 time_ms=4.4182
fft_mpi n=1048576 nprocs=16 chunk=65536 time_ms=4.4450
fft_mpi n=1048576 nprocs=16 chunk=65536 time_ms=4.4704
fft_mpi n=1048576 nprocs=16 chunk=65536 time_ms=4.4365
fft_mpi n=1048576 nprocs=32 chunk=32768 time_ms=2.2146
fft_mpi n=1048576 nprocs=32 chunk=32768 time_ms=4.2711
fft_mpi n=1048576 nprocs=32 chunk=32768 time_ms=2.2537
fft_mpi n=1048576 nprocs=32 chunk=32768 time_ms=18.2870
