workload,variant,threads,n,elapsed_time_s,cpu_time_s,top_hotspot_fn,top_hotspot_pct,second_hotspot_fn,second_hotspot_pct,physical_core_util_pct,filename
fft,openmp,16,1048576,0.248,0.32,func@0x1fe10,68.6,bit_reverse,15.6,3.5,fft_openmp_t16_n1048576_summary.txt
fft,openmp,16,134217728,12.804,28.48,fft_parallel._omp_fn.0,59.2,bit_reverse,36.6,3.9,fft_openmp_t16_n134217728_summary.txt
fft,openmp,16,16777216,1.483,3.12,fft_parallel._omp_fn.0,55.1,bit_reverse,33.6,3.9,fft_openmp_t16_n16777216_summary.txt
fft,openmp,16,2097152,0.301,0.44,func@0x1fe10,43.2,fft_parallel._omp_fn.0,29.5,3.9,fft_openmp_t16_n2097152_summary.txt
fft,openmp,16,268435456,33.392,59.93,fft_parallel._omp_fn.0,47.9,bit_reverse,46.7,3.0,fft_openmp_t16_n268435456_summary.txt
fft,openmp,16,33554432,3.114,6.64,fft_parallel._omp_fn.0,55.3,bit_reverse,36.6,3.8,fft_openmp_t16_n33554432_summary.txt
fft,openmp,16,4194304,0.46,0.75,func@0x1fe10,33.3,fft_parallel._omp_fn.0,30.7,3.7,fft_openmp_t16_n4194304_summary.txt
fft,openmp,16,536870912,88.397,174.51,fft_parallel._omp_fn.0,54.0,bit_reverse,41.8,3.2,fft_openmp_t16_n536870912_summary.txt
fft,openmp,16,67108864,6.145,13.48,fft_parallel._omp_fn.0,57.8,bit_reverse,36.5,3.9,fft_openmp_t16_n67108864_summary.txt
fft,openmp,16,8388608,0.794,1.55,fft_parallel._omp_fn.0,50.3,bit_reverse,31.6,3.9,fft_openmp_t16_n8388608_summary.txt
fft,openmp,1,1048576,0.252,0.08,bit_reverse,62.5,fft_parallel._omp_fn.0,37.5,1.1,fft_openmp_t1_n1048576_summary.txt
fft,openmp,1,134217728,18.245,17.83,bit_reverse,58.1,fft_parallel._omp_fn.0,39.0,1.7,fft_openmp_t1_n134217728_summary.txt
fft,openmp,1,16777216,2.088,1.91,bit_reverse,55.5,fft_parallel._omp_fn.0,40.8,1.7,fft_openmp_t1_n16777216_summary.txt
fft,openmp,1,2097152,0.351,0.19,bit_reverse,52.6,fft_parallel._omp_fn.0,42.1,1.3,fft_openmp_t1_n2097152_summary.txt
fft,openmp,1,268435456,45.933,45.09,bit_reverse,61.9,fft_parallel._omp_fn.0,34.0,1.6,fft_openmp_t1_n268435456_summary.txt
fft,openmp,1,33554432,4.26,4.05,bit_reverse,56.5,fft_parallel._omp_fn.0,40.2,1.7,fft_openmp_t1_n33554432_summary.txt
fft,openmp,1,4194304,0.595,0.41,bit_reverse,56.0,fft_parallel._omp_fn.0,39.0,1.4,fft_openmp_t1_n4194304_summary.txt
fft,openmp,1,536870912,117.111,115.09,bit_reverse,62.4,fft_parallel._omp_fn.0,32.9,1.6,fft_openmp_t1_n536870912_summary.txt
fft,openmp,1,67108864,8.767,8.49,bit_reverse,57.6,fft_parallel._omp_fn.0,39.3,1.7,fft_openmp_t1_n67108864_summary.txt
fft,openmp,1,8388608,1.092,0.92,bit_reverse,56.5,fft_parallel._omp_fn.0,39.1,1.6,fft_openmp_t1_n8388608_summary.txt
fft,openmp,2,1048576,0.239,0.1,bit_reverse,50.1,fft_parallel._omp_fn.0,29.9,1.4,fft_openmp_t2_n1048576_summary.txt
fft,openmp,2,134217728,15.087,18.27,bit_reverse,56.8,fft_parallel._omp_fn.0,40.3,2.1,fft_openmp_t2_n134217728_summary.txt
fft,openmp,2,16777216,1.806,2.02,bit_reverse,55.4,fft_parallel._omp_fn.0,41.1,2.0,fft_openmp_t2_n16777216_summary.txt
fft,openmp,2,2097152,0.328,0.19,bit_reverse,52.7,fft_parallel._omp_fn.0,36.8,1.5,fft_openmp_t2_n2097152_summary.txt
fft,openmp,2,268435456,39.275,45.99,bit_reverse,61.6,fft_parallel._omp_fn.0,34.2,1.9,fft_openmp_t2_n268435456_summary.txt
fft,openmp,2,33554432,3.55,4.17,bit_reverse,55.6,fft_parallel._omp_fn.0,40.8,2.1,fft_openmp_t2_n33554432_summary.txt
fft,openmp,2,4194304,0.514,0.45,bit_reverse,48.8,fft_parallel._omp_fn.0,35.6,1.8,fft_openmp_t2_n4194304_summary.txt
fft,openmp,2,536870912,100.713,117.12,bit_reverse,62.4,fft_parallel._omp_fn.0,33.0,1.8,fft_openmp_t2_n536870912_summary.txt
fft,openmp,2,67108864,7.183,8.59,bit_reverse,56.2,fft_parallel._omp_fn.0,40.5,2.1,fft_openmp_t2_n67108864_summary.txt
fft,openmp,2,8388608,0.918,0.93,bit_reverse,52.7,fft_parallel._omp_fn.0,40.9,1.9,fft_openmp_t2_n8388608_summary.txt
fft,openmp,32,1048576,0.247,0.5,func@0x1fc70,54.0,func@0x1fe10,32.0,4.0,fft_openmp_t32_n1048576_summary.txt
fft,openmp,32,134217728,12.584,44.3,fft_parallel._omp_fn.0,71.1,bit_reverse,23.0,4.0,fft_openmp_t32_n134217728_summary.txt
fft,openmp,32,16777216,1.557,5.25,fft_parallel._omp_fn.0,54.9,bit_reverse,21.5,4.0,fft_openmp_t32_n16777216_summary.txt
fft,openmp,32,2097152,0.322,0.76,func@0x1fe10,35.5,func@0x1fc70,30.3,3.7,fft_openmp_t32_n2097152_summary.txt
fft,openmp,32,268435456,33.354,85.21,fft_parallel._omp_fn.0,61.7,bit_reverse,32.9,3.0,fft_openmp_t32_n268435456_summary.txt
fft,openmp,32,33554432,3.116,10.32,fft_parallel._omp_fn.0,64.9,bit_reverse,23.4,3.9,fft_openmp_t32_n33554432_summary.txt
fft,openmp,32,4194304,0.472,1.45,func@0x1fe10,37.8,fft_parallel._omp_fn.0,35.2,4.1,fft_openmp_t32_n4194304_summary.txt
fft,openmp,32,536870912,88.666,266.95,fft_parallel._omp_fn.0,68.9,bit_reverse,27.3,3.2,fft_openmp_t32_n536870912_summary.txt
fft,openmp,32,67108864,6.127,21.58,fft_parallel._omp_fn.0,68.7,bit_reverse,22.2,4.0,fft_openmp_t32_n67108864_summary.txt
fft,openmp,32,8388608,0.821,2.68,fft_parallel._omp_fn.0,47.0,func@0x1fe10,27.6,4.0,fft_openmp_t32_n8388608_summary.txt
fft,openmp,4,1048576,0.239,0.13,fft_parallel._omp_fn.0,53.8,bit_reverse,38.5,1.8,fft_openmp_t4_n1048576_summary.txt
fft,openmp,4,134217728,13.35,18.38,bit_reverse,56.3,fft_parallel._omp_fn.0,40.5,2.4,fft_openmp_t4_n134217728_summary.txt
fft,openmp,4,16777216,1.557,2.02,bit_reverse,52.5,fft_parallel._omp_fn.0,42.0,2.4,fft_openmp_t4_n16777216_summary.txt
fft,openmp,4,2097152,0.31,0.23,bit_reverse,43.5,fft_parallel._omp_fn.0,43.5,1.9,fft_openmp_t4_n2097152_summary.txt
fft,openmp,4,268435456,35.879,46.57,bit_reverse,61.0,fft_parallel._omp_fn.0,34.3,2.2,fft_openmp_t4_n268435456_summary.txt
fft,openmp,4,33554432,3.086,4.17,bit_reverse,53.7,fft_parallel._omp_fn.0,41.7,2.4,fft_openmp_t4_n33554432_summary.txt
fft,openmp,4,4194304,0.48,0.48,bit_reverse,45.8,fft_parallel._omp_fn.0,41.7,2.1,fft_openmp_t4_n4194304_summary.txt
